Category,Name,Price,Url
Điện thoại di động,"điện thoại Samsung Galaxy J4 (2018) mới Chính Hãng 2sim (2GB/16GB) màn hình 5.5inch, camera siêu nét",1190000,https://shopee.vn/điện-thoại-Samsung-Galaxy-J4-(2018)-mới-Chính-Hãng-2sim-(2GB-16GB)-màn-hình-5.5inch-camera-siêu-nét-i.210121591.7663915348
Điện thoại di động,"điện thoại Samsung Galaxy A10 2sim bộ nhớ 32g, PIN 3400MAH, chơi Game siêu mượt",1998000,https://shopee.vn/điện-thoại-Samsung-Galaxy-A10-2sim-bộ-nhớ-32g-PIN-3400MAH-chơi-Game-siêu-mượt-i.210121591.7854183640
Điện thoại di động,"Điện thoại SAMSUNG GALAXY J7 PRO ram 3G/32G mới zin, Pin trâu chơi game nặng mượt",1799000,https://shopee.vn/Điện-thoại-SAMSUNG-GALAXY-J7-PRO-ram-3G-32G-mới-zin-Pin-trâu-chơi-game-nặng-mượt-i.210121591.5054169148
Điện thoại di động,điện thoại LG V50 ThinQ ram 6G/128G mới Chính Hãng mới zin,5399000,https://shopee.vn/điện-thoại-LG-V50-ThinQ-ram-6G-128G-mới-Chính-Hãng-mới-zin-i.210121591.4654174782
Điện thoại di động,điện thoại Oppo F9 2sim 64G mới Fullbox,2549000,https://shopee.vn/điện-thoại-Oppo-F9-2sim-64G-mới-Fullbox-i.52785791.7646235443
Điện thoại di động,"điện thoại Google Pixel 2XL 2sim (1 nano sim,1 esim) ram 4G rom 64G mới Chính hãng, Chiến PUBG/Free Fire mướt",3550000,https://shopee.vn/điện-thoại-Google-Pixel-2XL-2sim-(1-nano-sim-1-esim)-ram-4G-rom-64G-mới-Chính-hãng-Chiến-PUBG-Free-Fire-mướt-i.210121591.5254185669
Điện thoại di động,"Điện thoại Samsung GALAXY J7 Pro Bộ nhớ 32G ram 3G mới Zin, Camera net",1799000,https://shopee.vn/Điện-thoại-Samsung-GALAXY-J7-Pro-Bộ-nhớ-32G-ram-3G-mới-Zin-Camera-net-i.210121591.7054183014
Điện thoại di động,"[Rẻ Vô Địch] điện thoại Samsung Galaxy J6 2018 2sim ram 3G bộ nhớ 32G mới, Camera siêu nét",1450000,https://shopee.vn/-Rẻ-Vô-Địch-điện-thoại-Samsung-Galaxy-J6-2018-2sim-ram-3G-bộ-nhớ-32G-mới-Camera-siêu-nét-i.210121591.4263577991
Điện thoại di động,"điện thoại Samsung Galaxy J6 (2018) Chính hãng 2sim ram 3G rom 32G, Chiến PUBG/Free Fire mượt",1499000,https://shopee.vn/điện-thoại-Samsung-Galaxy-J6-(2018)-Chính-hãng-2sim-ram-3G-rom-32G-Chiến-PUBG-Free-Fire-mượt-i.210121591.3763667543
Điện thoại di động,Máy tính bảng Amazon Fire HD8 32GB 2020 - Phiên bản nâng cấp mới nhất,2100000,https://shopee.vn/Máy-tính-bảng-Amazon-Fire-HD8-32GB-2020-Phiên-bản-nâng-cấp-mới-nhất-i.20070079.3743391443
Điện thoại di động,Máy đọc sách kindle paperwhite gen 3 4GB tặng kèm cover,2100000,https://shopee.vn/Máy-đọc-sách-kindle-paperwhite-gen-3-4GB-tặng-kèm-cover-i.20070079.1023558153
Điện thoại di động,Máy đọc sách Kindle Voyage used máy đẹp,1900000,https://shopee.vn/Máy-đọc-sách-Kindle-Voyage-used-máy-đẹp-i.92936184.1790713097
Điện thoại di động,🎁 Máy tính bảng Apple Ipad 4 Fullbox màn 2K (Wifi+4G),2488000,https://shopee.vn/🎁-Máy-tính-bảng-Apple-Ipad-4-Fullbox-màn-2K-(Wifi-4G)-i.204574220.4909329070
Điện thoại di động,Máy Đọc Sách Kobo Máy Đẹp Có Chứng Từ Nguồn Gốc Xuất Xứ Nhật Bản,1050000,https://shopee.vn/Máy-Đọc-Sách-Kobo-Máy-Đẹp-Có-Chứng-Từ-Nguồn-Gốc-Xuất-Xứ-Nhật-Bản-i.50756834.2889695149
Điện thoại di động,Máy tính bảng ipad 2 32/16Gb chính hãng bản Wifi - tặng kèm phụ kiện hỗ trợ tải ứng dụng - bảo hành dài 6-12 tháng,399000,https://shopee.vn/Máy-tính-bảng-ipad-2-32-16Gb-chính-hãng-bản-Wifi-tặng-kèm-phụ-kiện-hỗ-trợ-tải-ứng-dụng-bảo-hành-dài-6-12-tháng-i.203317301.6448663362
